pais,region,tramo,anio,ent_nr,ent_brth_nr,ent_dth_nr,ent_srvl_y3_nr,emp_nr,sal_nr,emp_brth_nr,sal_brth_nr,emp_dth_nr,sal_dth_nr,emp_srvl_y3_nr,emp_srvl_ybrth_y3_nr,grw_ent_pc,ent_brthr_dthr_pc,ent_brthr_pc,ent_brth_pp_pc,ent_dthr_pc,ent_dth_pp_pc,ent_srvlr_brth_y3_pc,ent_srvlr_y3_pc,emp_brthr_pc,ent_brth_empsize_nr,sal_emp_brthr_pc,emp_dthr_pc,ent_dth_empsize_nr,grw_emp_srvl_y3_pc,emp_srvlr_y3_pc,ent_srvl_empsize_y3_nr
Spain,Teruel,0,2020,5107,407,NA,307,5154,0,408,0,NA,NA,554,312,-4.36,NA,7.97,79.49,NA,NA,56.64,6.01,7.92,1,0,NA,NA,77.56,10.75,1.8
Spain,Zaragoza,0,2008,38840,4300,3833,3224,40509,0,4544,0,4071,0,4920,3213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Zaragoza,0,2009,39183,4227,4134,2858,41642,0,4458,0,4430,0,4723,2839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Zaragoza,0,2010,39208,4161,NA,2946,41513,0,4365,0,NA,NA,4444,3004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,Zaragoza,0,2011,39544,4263,4856,2310,41802,0,4445,0,5159,0,3307,2422,NA,23.06,10.78,79.05,12.28,NA,NA,5.84,10.63,1.04,0,12.34,1.06,36.54,7.91,1.43
Spain,Zaragoza,0,2012,37316,4100,4225,2240,39438,0,4312,0,4560,0,3393,2355,-5.63,22.31,10.99,78.98,11.32,NA,NA,6,10.93,1.05,0,11.56,1.08,44.08,8.6,1.51
Spain,Zaragoza,0,2013,37191,4619,3834,2158,39302,0,4885,0,4039,0,3215,2250,-0.33,22.73,12.42,79.58,10.31,NA,NA,5.8,12.43,1.06,0,10.28,1.05,42.89,8.18,1.49
Spain,Zaragoza,0,2014,38230,5226,NA,2268,40186,0,5381,0,NA,NA,4082,2345,2.79,NA,13.67,81.59,NA,NA,53.2,5.93,13.39,1.03,0,NA,NA,74.07,10.16,1.8
Spain,Zaragoza,0,2016,40212,5123,4248,2455,41235,0,5075,0,4741,0,3753,2514,NA,23.3,12.74,76.93,10.56,68.47,53.15,6.11,12.31,0.99,0,11.5,1.12,49.28,9.1,1.53
Spain,Zaragoza,0,2017,39149,4365,3489,2629,39069,0,4291,0,3543,0,3206,2634,-2.64,20.06,11.15,80.24,8.91,69.23,50.31,6.72,10.98,0.98,0,9.07,1.02,21.72,8.21,1.22
